Year,Month,Highest Temperature
1961,Jul,96.07619047619048
1961,Jun,92.64761904761905
1961,Mar,61.69565217391305
1961,May,83.66956521739131
1961,Nov,54.26521739130435
1961,Oct,74.83636363636364
1961,Sep,81.97272727272728
1962,Apr,75.37727272727273
1962,Aug,87.87142857142857
1962,Dec,51.11363636363637
1962,Feb,57.154545454545456
1962,Jan,53.51818181818182
1962,Jul,91.9608695652174
1962,Jun,84.67727272727274
1962,Mar,63.43636363636363
1962,May,69.34545454545454
1962,Nov,60.38260869565217
1962,Oct,73.47826086956522
1962,Sep,85.72272727272728
1963,Apr,68.68636363636364
1963,Aug,89.96818181818182
1963,Dec,48.99565217391305
1963,Feb,59.873913043478254
1963,Jan,49.4
1963,Jul,83.69545454545454
1963,Jun,88.79545454545455
1963,Mar,63.11904761904762
1963,May,84.07000000000001
1963,Nov,55.5
1963,Oct,75.74761904761905
1963,Sep,88.63181818181819
1964,Apr,64.21904761904761
1964,Aug,88.68571428571428
1964,Dec,48.222727272727276
1964,Feb,53.51818181818182
1964,Jan,48.50454545454545
1964,Jul,91.76
1964,Jun,81.60909090909091
1964,Mar,67.60454545454546
1964,May,79.10909090909091
1964,Nov,55.28181818181818
1964,Oct,73.6590909090909
1964,Sep,79.84545454545454
1965,Apr,74.01904761904763
1965,Aug,94.07727272727271
1965,Dec,51.147619047619045
1965,Feb,56.13333333333333
1965,Jan,50.019047619047626
1965,Jul,94.40454545454546
1965,Jun,85.1590909090909
1965,Mar,64.87142857142857
1965,May,76.8952380952381
1965,Nov,61.96190476190476
1965,Oct,75.18181818181819
1965,Sep,79.49047619047619
1966,Apr,72.91818181818182
1966,Aug,92.28571428571429
1966,Dec,51.18260869565218
1966,Feb,54.36818181818182
1966,Jan,48.80434782608695
1966,Jul,87.44285714285714
1966,Jun,84.74545454545455
1966,Mar,68.37727272727273
1966,May,83.65714285714286
1966,Nov,59.20454545454545
1966,Oct,74.74545454545455
1966,Sep,86.68095238095238
